problem_feature_map_id,problem_id,feature_id,feature_value_id,value_numeric,value_text,truth_status,is_defining,conditions,confidence,source_ids,last_verified
PFM00001,PA001,F_VARIABLE_DOMAIN,FV0001,,,yes,yes,,high,S055;S056,2026-07-13
PFM00002,PA001,F_OBJECTIVE_FORM,FV0015,,,yes,yes,,high,S055;S056,2026-07-13
PFM00003,PA001,F_CONVEXITY,FV0023,,,yes,yes,,high,S055;S056,2026-07-13
PFM00004,PA001,F_SMOOTHNESS,FV0024,,,yes,yes,,high,S055;S056,2026-07-13
PFM00005,PA001,F_DERIVATIVE_ACCESS,FV0030,,,yes,yes,,high,S055;S056,2026-07-13
PFM00006,PA001,F_CONSTRAINT_CLASS,FV0041,,,yes,yes,,high,S055;S056,2026-07-13
PFM00007,PA001,F_DIMENSION_CONTEXT,FV0053,,,yes,yes,,high,S055;S056,2026-07-13
PFM00008,PA001,F_EVALUATION_COST,FV0059,,,yes,yes,,high,S055;S056,2026-07-13
PFM00009,PA001,F_NOISE_LEVEL,FV0063,,,yes,yes,,high,S055;S056,2026-07-13
PFM00010,PA001,F_SOLUTION_GOAL,FV0071,,,yes,yes,,high,S055;S056,2026-07-13
PFM00011,PA001,F_SCALE_STRUCTURE,FV0075,,,yes,yes,,high,S055;S056,2026-07-13
PFM00012,PA001,F_EVALUATION_RELIABILITY,FV0080,,,yes,yes,,high,S055;S056,2026-07-13
PFM00013,PA001,F_REPEATED_SOLVE,FV0085,,,yes,yes,,high,S055;S056,2026-07-13
PFM00014,PA001,F_PARALLEL_BUDGET,FV0089,,,yes,yes,,high,S055;S056,2026-07-13
PFM00015,PA002,F_VARIABLE_DOMAIN,FV0001,,,yes,yes,,high,S054;S056,2026-07-13
PFM00016,PA002,F_OBJECTIVE_FORM,FV0017,,,yes,yes,,high,S054;S056,2026-07-13
PFM00017,PA002,F_CONVEXITY,FV0019,,,yes,yes,,high,S054;S056,2026-07-13
PFM00018,PA002,F_SMOOTHNESS,FV0024,,,yes,yes,,high,S054;S056,2026-07-13
PFM00019,PA002,F_DERIVATIVE_ACCESS,FV0035,,,yes,yes,,high,S054;S056,2026-07-13
PFM00020,PA002,F_CONSTRAINT_CLASS,FV0041,,,yes,yes,,high,S054;S056,2026-07-13
PFM00021,PA002,F_DIMENSION_CONTEXT,FV0056,,,yes,yes,,high,S054;S056,2026-07-13
PFM00022,PA002,F_EVALUATION_COST,FV0059,,,yes,yes,,high,S054;S056,2026-07-13
PFM00023,PA002,F_NOISE_LEVEL,FV0063,,,yes,yes,,high,S054;S056,2026-07-13
PFM00024,PA002,F_SOLUTION_GOAL,FV0071,,,yes,yes,,high,S054;S056,2026-07-13
PFM00025,PA002,F_SCALE_STRUCTURE,FV0076,,,yes,yes,,high,S054;S056,2026-07-13
PFM00026,PA002,F_EVALUATION_RELIABILITY,FV0080,,,yes,yes,,high,S054;S056,2026-07-13
PFM00027,PA002,F_REPEATED_SOLVE,FV0085,,,yes,yes,,high,S054;S056,2026-07-13
PFM00028,PA002,F_PARALLEL_BUDGET,FV0089,,,yes,yes,,high,S054;S056,2026-07-13
PFM00029,PA002,F_STRUCTURE_SPARSE,,,,yes,conditional,Archetype-level inferred structure; confirm on the concrete instance.,medium,S054;S056,2026-07-13
PFM00030,PA003,F_VARIABLE_DOMAIN,FV0006,,,yes,yes,,high,S054;S071,2026-07-13
PFM00031,PA003,F_OBJECTIVE_FORM,FV0012,,,yes,yes,,high,S054;S071,2026-07-13
PFM00032,PA003,F_CONVEXITY,FV0022,,,yes,yes,,high,S054;S071,2026-07-13
PFM00033,PA003,F_SMOOTHNESS,FV0024,,,yes,yes,,high,S054;S071,2026-07-13
PFM00034,PA003,F_DERIVATIVE_ACCESS,FV0030,,,yes,yes,,high,S054;S071,2026-07-13
PFM00035,PA003,F_CONSTRAINT_CLASS,FV0050,,,yes,yes,,high,S054;S071,2026-07-13
PFM00036,PA003,F_DIMENSION_CONTEXT,FV0056,,,yes,yes,,high,S054;S071,2026-07-13
PFM00037,PA003,F_EVALUATION_COST,FV0059,,,yes,yes,,high,S054;S071,2026-07-13
PFM00038,PA003,F_NOISE_LEVEL,FV0063,,,yes,yes,,high,S054;S071,2026-07-13
PFM00039,PA003,F_SOLUTION_GOAL,FV0071,,,yes,yes,,high,S054;S071,2026-07-13
PFM00040,PA003,F_SCALE_STRUCTURE,FV0079,,,yes,yes,,high,S054;S071,2026-07-13
PFM00041,PA003,F_EVALUATION_RELIABILITY,FV0080,,,yes,yes,,high,S054;S071,2026-07-13
PFM00042,PA003,F_REPEATED_SOLVE,FV0085,,,yes,yes,,high,S054;S071,2026-07-13
PFM00043,PA003,F_PARALLEL_BUDGET,FV0089,,,yes,yes,,high,S054;S071,2026-07-13
PFM00044,PA003,F_STRUCTURE_QP,,,,yes,conditional,Archetype-level inferred structure; confirm on the concrete instance.,medium,S054;S071,2026-07-13
PFM00045,PA004,F_VARIABLE_DOMAIN,FV0001,,,yes,yes,,high,S080;S056,2026-07-13
PFM00046,PA004,F_OBJECTIVE_FORM,FV0017,,,yes,yes,,high,S080;S056,2026-07-13
PFM00047,PA004,F_CONVEXITY,FV0023,,,yes,yes,,high,S080;S056,2026-07-13
PFM00048,PA004,F_SMOOTHNESS,FV0024,,,yes,yes,,high,S080;S056,2026-07-13
PFM00049,PA004,F_DERIVATIVE_ACCESS,FV0035,,,yes,yes,,high,S080;S056,2026-07-13
PFM00050,PA004,F_CONSTRAINT_CLASS,FV0041,,,yes,yes,,high,S080;S056,2026-07-13
PFM00051,PA004,F_DIMENSION_CONTEXT,FV0055,,,yes,yes,,high,S080;S056,2026-07-13
PFM00052,PA004,F_EVALUATION_COST,FV0060,,,yes,yes,,high,S080;S056,2026-07-13
